bgc_label,MAP_LABEL,ZONE,ZONE_NAME,SUBZONE,SUBZONE_NAME,VARIANT,VARIANT_NAME,bec_area,category,area_des,percent_des,area_des_ha
BWBSwk 3,BWBSwk3,BWBS,Boreal White and Black Spruce,wk,Wet Cool,3,Kledo,1507223008.7221084,01_PPA,16864369.5312074,1.1189034027224554,1686.4369531207444
BWBSwk 3,BWBSwk3,BWBS,Boreal White and Black Spruce,wk,Wet Cool,3,Kledo,1507223008.7221084,02_Protected_Other,0,0,0
BWBSwk 3,BWBSwk3,BWBS,Boreal White and Black Spruce,wk,Wet Cool,3,Kledo,1507223008.7221084,03_Exclude_1_2_Activities,1596362.29410861,0.10591414043380866,159.63622941086103
BWBSwk 3,BWBSwk3,BWBS,Boreal White and Black Spruce,wk,Wet Cool,3,Kledo,1507223008.7221084,04_Managed,85920672.1726705,5.700594515573241,8592.067217267051
CDF mm,CDFmm,CDF,Coastal Douglas-fir,mm,Moist Maritime,NA, ,2512322281.0667605,01_PPA,108580659.449098,4.32192399308712,10858.065944909797
CDF mm,CDFmm,CDF,Coastal Douglas-fir,mm,Moist Maritime,NA, ,2512322281.0667605,02_Protected_Other,48836675.255673,1.9438857675113397,4883.667525567299
CDF mm,CDFmm,CDF,Coastal Douglas-fir,mm,Moist Maritime,NA, ,2512322281.0667605,03_Exclude_1_2_Activities,31626188.0293259,1.2588427952761332,3162.618802932592
CDF mm,CDFmm,CDF,Coastal Douglas-fir,mm,Moist Maritime,NA, ,2512322281.0667605,04_Managed,237551848.118504,9.455468747331123,23755.184811850395
CMA un,CMAun,CMA,Coastal Mountain-heather Alpine,un,Undifferentiated,NA,NA,14489842530.624306,01_PPA,2401407634.24173,16.57304162668679,240140.76342417332
CMA un,CMAun,CMA,Coastal Mountain-heather Alpine,un,Undifferentiated,NA,NA,14489842530.624306,02_Protected_Other,0,0,0
CMA un,CMAun,CMA,Coastal Mountain-heather Alpine,un,Undifferentiated,NA,NA,14489842530.624306,03_Exclude_1_2_Activities,616601702.056166,4.255406508062301,61660.17020561661
CMA un,CMAun,CMA,Coastal Mountain-heather Alpine,un,Undifferentiated,NA,NA,14489842530.624306,04_Managed,2061294924.69361,14.225792449690616,206129.49246936126
CMA unp,CMAunp,CMA,Coastal Mountain-heather Alpine,unp,Undifferentiated and Parkland,NA,NA,21221679783.87365,01_PPA,4048994068.82569,19.079517314659117,404899.40688256867
CMA unp,CMAunp,CMA,Coastal Mountain-heather Alpine,unp,Undifferentiated and Parkland,NA,NA,21221679783.87365,02_Protected_Other,507536.500002071,0.0023915943750491804,50.75365000020713
